composition,adults,children,monthly_income,payment,benefit
"2 adults, 2 children",2,2,5170,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5170,797,NC Medicaid / Health Choice
1 adult,1,0,5180,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5180,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5180,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5180,0,NC Medicaid / Health Choice
2 adults,2,0,5180,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5180,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5180,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5180,797,NC Medicaid / Health Choice
1 adult,1,0,5190,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5190,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5190,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5190,0,NC Medicaid / Health Choice
2 adults,2,0,5190,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5190,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5190,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5190,797,NC Medicaid / Health Choice
1 adult,1,0,5200,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5200,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5200,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5200,0,NC Medicaid / Health Choice
2 adults,2,0,5200,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5200,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5200,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5200,797,NC Medicaid / Health Choice
1 adult,1,0,5210,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5210,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5210,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5210,0,NC Medicaid / Health Choice
2 adults,2,0,5210,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5210,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5210,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5210,797,NC Medicaid / Health Choice
1 adult,1,0,5220,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5220,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5220,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5220,0,NC Medicaid / Health Choice
2 adults,2,0,5220,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5220,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5220,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5220,797,NC Medicaid / Health Choice
1 adult,1,0,5230,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5230,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5230,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5230,0,NC Medicaid / Health Choice
2 adults,2,0,5230,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5230,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5230,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5230,797,NC Medicaid / Health Choice
1 adult,1,0,5240,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5240,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5240,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5240,0,NC Medicaid / Health Choice
2 adults,2,0,5240,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5240,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5240,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5240,797,NC Medicaid / Health Choice
1 adult,1,0,5250,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5250,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5250,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5250,0,NC Medicaid / Health Choice
2 adults,2,0,5250,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5250,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5250,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5250,797,NC Medicaid / Health Choice
1 adult,1,0,5260,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5260,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5260,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5260,0,NC Medicaid / Health Choice
2 adults,2,0,5260,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5260,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5260,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5260,797,NC Medicaid / Health Choice
1 adult,1,0,5270,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5270,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5270,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5270,0,NC Medicaid / Health Choice
2 adults,2,0,5270,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5270,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5270,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5270,797,NC Medicaid / Health Choice
1 adult,1,0,5280,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5280,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5280,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5280,0,NC Medicaid / Health Choice
2 adults,2,0,5280,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5280,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5280,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5280,0,NC Medicaid / Health Choice
1 adult,1,0,5290,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5290,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5290,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5290,0,NC Medicaid / Health Choice
2 adults,2,0,5290,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5290,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5290,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5290,0,NC Medicaid / Health Choice
1 adult,1,0,5300,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5300,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5300,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5300,0,NC Medicaid / Health Choice
2 adults,2,0,5300,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5300,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5300,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5300,0,NC Medicaid / Health Choice
1 adult,1,0,5310,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5310,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5310,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5310,0,NC Medicaid / Health Choice
2 adults,2,0,5310,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5310,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5310,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5310,0,NC Medicaid / Health Choice
1 adult,1,0,5320,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5320,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5320,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5320,0,NC Medicaid / Health Choice
2 adults,2,0,5320,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5320,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5320,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5320,0,NC Medicaid / Health Choice
1 adult,1,0,5330,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5330,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5330,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5330,0,NC Medicaid / Health Choice
2 adults,2,0,5330,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5330,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5330,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5330,0,NC Medicaid / Health Choice
1 adult,1,0,5340,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5340,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5340,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5340,0,NC Medicaid / Health Choice
2 adults,2,0,5340,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5340,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5340,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5340,0,NC Medicaid / Health Choice
1 adult,1,0,5350,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5350,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5350,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5350,0,NC Medicaid / Health Choice
2 adults,2,0,5350,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5350,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5350,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5350,0,NC Medicaid / Health Choice
1 adult,1,0,5360,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5360,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5360,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5360,0,NC Medicaid / Health Choice
2 adults,2,0,5360,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5360,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5360,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5360,0,NC Medicaid / Health Choice
1 adult,1,0,5370,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5370,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5370,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5370,0,NC Medicaid / Health Choice
2 adults,2,0,5370,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5370,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5370,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5370,0,NC Medicaid / Health Choice
1 adult,1,0,5380,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5380,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5380,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5380,0,NC Medicaid / Health Choice
2 adults,2,0,5380,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5380,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5380,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5380,0,NC Medicaid / Health Choice
1 adult,1,0,5390,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5390,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5390,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5390,0,NC Medicaid / Health Choice
2 adults,2,0,5390,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5390,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5390,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5390,0,NC Medicaid / Health Choice
1 adult,1,0,5400,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5400,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5400,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5400,0,NC Medicaid / Health Choice
2 adults,2,0,5400,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5400,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5400,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5400,0,NC Medicaid / Health Choice
1 adult,1,0,5410,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5410,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5410,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5410,0,NC Medicaid / Health Choice
2 adults,2,0,5410,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5410,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5410,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5410,0,NC Medicaid / Health Choice
1 adult,1,0,5420,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5420,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5420,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5420,0,NC Medicaid / Health Choice
2 adults,2,0,5420,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5420,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5420,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5420,0,NC Medicaid / Health Choice
1 adult,1,0,5430,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5430,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5430,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5430,0,NC Medicaid / Health Choice
2 adults,2,0,5430,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5430,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5430,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5430,0,NC Medicaid / Health Choice
1 adult,1,0,5440,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5440,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5440,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5440,0,NC Medicaid / Health Choice
2 adults,2,0,5440,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5440,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5440,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5440,0,NC Medicaid / Health Choice
1 adult,1,0,5450,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5450,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5450,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5450,0,NC Medicaid / Health Choice
2 adults,2,0,5450,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5450,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5450,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5450,0,NC Medicaid / Health Choice
1 adult,1,0,5460,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5460,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5460,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5460,0,NC Medicaid / Health Choice
2 adults,2,0,5460,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5460,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5460,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5460,0,NC Medicaid / Health Choice
1 adult,1,0,5470,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5470,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5470,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5470,0,NC Medicaid / Health Choice
2 adults,2,0,5470,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5470,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5470,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5470,0,NC Medicaid / Health Choice
1 adult,1,0,5480,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5480,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5480,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5480,0,NC Medicaid / Health Choice
2 adults,2,0,5480,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5480,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5480,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5480,0,NC Medicaid / Health Choice
1 adult,1,0,5490,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5490,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5490,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5490,0,NC Medicaid / Health Choice
2 adults,2,0,5490,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5490,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5490,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5490,0,NC Medicaid / Health Choice
1 adult,1,0,5500,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5500,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5500,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5500,0,NC Medicaid / Health Choice
2 adults,2,0,5500,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5500,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5500,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5500,0,NC Medicaid / Health Choice
1 adult,1,0,5510,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5510,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5510,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5510,0,NC Medicaid / Health Choice
2 adults,2,0,5510,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5510,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5510,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5510,0,NC Medicaid / Health Choice
1 adult,1,0,5520,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5520,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5520,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5520,0,NC Medicaid / Health Choice
2 adults,2,0,5520,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5520,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5520,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5520,0,NC Medicaid / Health Choice
1 adult,1,0,5530,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5530,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5530,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5530,0,NC Medicaid / Health Choice
2 adults,2,0,5530,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5530,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5530,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5530,0,NC Medicaid / Health Choice
1 adult,1,0,5540,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5540,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5540,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5540,0,NC Medicaid / Health Choice
2 adults,2,0,5540,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5540,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5540,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5540,0,NC Medicaid / Health Choice
1 adult,1,0,5550,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5550,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5550,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5550,0,NC Medicaid / Health Choice
2 adults,2,0,5550,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5550,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5550,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5550,0,NC Medicaid / Health Choice
1 adult,1,0,5560,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5560,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5560,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5560,0,NC Medicaid / Health Choice
2 adults,2,0,5560,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5560,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5560,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5560,0,NC Medicaid / Health Choice
1 adult,1,0,5570,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5570,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5570,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5570,0,NC Medicaid / Health Choice
2 adults,2,0,5570,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5570,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5570,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5570,0,NC Medicaid / Health Choice
1 adult,1,0,5580,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5580,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5580,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5580,0,NC Medicaid / Health Choice
2 adults,2,0,5580,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5580,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5580,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5580,0,NC Medicaid / Health Choice
1 adult,1,0,5590,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5590,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5590,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5590,0,NC Medicaid / Health Choice
2 adults,2,0,5590,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5590,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5590,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5590,0,NC Medicaid / Health Choice
1 adult,1,0,5600,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5600,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5600,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5600,0,NC Medicaid / Health Choice
2 adults,2,0,5600,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5600,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5600,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5600,0,NC Medicaid / Health Choice
1 adult,1,0,5610,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5610,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5610,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5610,0,NC Medicaid / Health Choice
2 adults,2,0,5610,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5610,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5610,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5610,0,NC Medicaid / Health Choice
1 adult,1,0,5620,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5620,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5620,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5620,0,NC Medicaid / Health Choice
2 adults,2,0,5620,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5620,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5620,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5620,0,NC Medicaid / Health Choice
1 adult,1,0,5630,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5630,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5630,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5630,0,NC Medicaid / Health Choice
2 adults,2,0,5630,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5630,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5630,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5630,0,NC Medicaid / Health Choice
1 adult,1,0,5640,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5640,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5640,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5640,0,NC Medicaid / Health Choice
2 adults,2,0,5640,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5640,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5640,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5640,0,NC Medicaid / Health Choice
1 adult,1,0,5650,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5650,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5650,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5650,0,NC Medicaid / Health Choice
2 adults,2,0,5650,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5650,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5650,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5650,0,NC Medicaid / Health Choice
1 adult,1,0,5660,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5660,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5660,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5660,0,NC Medicaid / Health Choice
2 adults,2,0,5660,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5660,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5660,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5660,0,NC Medicaid / Health Choice
1 adult,1,0,5670,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5670,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5670,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5670,0,NC Medicaid / Health Choice
2 adults,2,0,5670,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5670,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5670,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5670,0,NC Medicaid / Health Choice
1 adult,1,0,5680,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5680,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5680,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5680,0,NC Medicaid / Health Choice
2 adults,2,0,5680,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5680,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5680,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5680,0,NC Medicaid / Health Choice
1 adult,1,0,5690,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5690,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5690,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5690,0,NC Medicaid / Health Choice
2 adults,2,0,5690,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5690,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5690,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5690,0,NC Medicaid / Health Choice
1 adult,1,0,5700,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5700,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5700,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5700,0,NC Medicaid / Health Choice
2 adults,2,0,5700,0,NC Medicaid / Health Choice
"2 adults, 1 child",2,1,5700,0,NC Medicaid / Health Choice
"2 adults, 2 children",2,2,5700,0,NC Medicaid / Health Choice
"2 adults, 3 children",2,3,5700,0,NC Medicaid / Health Choice
1 adult,1,0,5710,0,NC Medicaid / Health Choice
"1 adult, 1 child",1,1,5710,0,NC Medicaid / Health Choice
"1 adult, 2 children",1,2,5710,0,NC Medicaid / Health Choice
"1 adult, 3 children",1,3,5710,0,NC Medicaid / Health Choice
